#Date;Inv;Psum;Pmax
10/9/24;0;46735;0
10/9/24;1;4780;0
9/9/24;0;40740;0
9/9/24;1;4149;0
8/9/24;0;43913;0
8/9/24;1;4449;0
7/9/24;0;50509;0
7/9/24;1;5189;0
6/9/24;0;53735;0
6/9/24;1;5526;0
5/9/24;0;57785;0
5/9/24;1;5942;0
4/9/24;0;42861;0
4/9/24;1;4615;0
3/9/24;0;8658;0
3/9/24;1;2939;0
2/9/24;0;36617;0
2/9/24;1;3819;0
1/9/24;0;32021;0
1/9/24;1;6100;0
31/8/24;0;37446;0
31/8/24;1;5192;0
30/8/24;0;15420;0
30/8/24;1;4626;0
29/8/24;0;25994;0
29/8/24;1;3491;0
28/8/24;0;30017;0
28/8/24;1;3325;0
27/8/24;0;54115;0
27/8/24;1;5609;0
26/8/24;0;46683;0
26/8/24;1;4787;0
25/8/24;0;32062;0
25/8/24;1;5253;0
24/8/24;0;39100;0
24/8/24;1;4006;0
23/8/24;0;46502;0
23/8/24;1;4812;0
22/8/24;0;58723;0
22/8/24;1;6180;0
21/8/24;0;42312;0
21/8/24;1;4467;0
20/8/24;0;11992;0
20/8/24;1;3577;0
19/8/24;0;31358;0
19/8/24;1;4621;0
18/8/24;0;17849;0
18/8/24;1;4477;0
17/8/24;0;48703;0
17/8/24;1;5261;0
16/8/24;0;27770;0
16/8/24;1;5677;0
15/8/24;0;49395;0
15/8/24;1;5876;0
14/8/24;0;52538;0
14/8/24;1;5670;0
13/8/24;0;34057;0
13/8/24;1;5141;0
12/8/24;0;41610;0
12/8/24;1;4453;0
11/8/24;0;49917;0
11/8/24;1;5135;0
10/8/24;0;47840;0
10/8/24;1;5107;0
28/2/22;0;0;0
28/2/22;1;1062;0
27/2/22;0;0;0
27/2/22;1;5511;0
26/2/22;0;0;0
26/2/22;1;5243;0
25/2/22;0;0;0
25/2/22;1;5552;0
24/2/22;0;0;0
24/2/22;1;5753;0
23/2/22;0;0;0
23/2/22;1;5477;0
22/2/22;0;0;0
22/2/22;1;3996;0
21/2/22;0;0;0
21/2/22;1;3134;0
20/2/22;0;0;0
20/2/22;1;4382;0
19/2/22;0;0;0
19/2/22;1;5017;0
18/2/22;0;0;0
18/2/22;1;3319;0
17/2/22;0;0;0
17/2/22;1;2769;0
16/2/22;0;0;0
16/2/22;1;2445;0
15/2/22;0;0;0
15/2/22;1;2209;0
14/2/22;0;0;0
14/2/22;1;3369;0
13/2/22;0;0;0
13/2/22;1;3865;0
12/2/22;0;0;0
12/2/22;1;2807;0
11/2/22;0;0;0
11/2/22;1;3175;0
10/2/22;0;0;0
10/2/22;1;2379;0
9/2/22;0;0;0
9/2/22;1;2820;0
8/2/22;0;0;0
8/2/22;1;3762;0
7/2/22;0;0;0
7/2/22;1;4982;0
6/2/22;0;0;0
6/2/22;1;4800;0
5/2/22;0;0;0
5/2/22;1;4416;0
4/2/22;0;11450;0
4/2/22;1;4424;0
3/2/22;0;35282;0
3/2/22;1;3449;0
2/2/22;0;38411;0
2/2/22;1;3691;0
1/2/22;0;34677;0
1/2/22;1;3343;0
31/1/22;0;52577;0
31/1/22;1;5089;0
30/1/22;0;58569;0
30/1/22;1;5579;0
29/1/22;0;52768;0
29/1/22;1;5071;0
28/1/22;0;34473;0
28/1/22;1;3178;0
27/1/22;0;33433;0
27/1/22;1;3112;0
26/1/22;0;44319;0
26/1/22;1;4121;0
25/1/22;0;51589;0
25/1/22;1;4838;0
24/1/22;0;57621;0
24/1/22;1;5368;0
23/1/22;0;55169;0
23/1/22;1;5240;0
22/1/22;0;35578;0
22/1/22;1;3414;0
21/1/22;0;28583;0
21/1/22;1;2798;0
20/1/22;0;47071;0
20/1/22;1;4413;0
19/1/22;0;49045;0
19/1/22;1;4649;0
18/1/22;0;50898;0
18/1/22;1;4821;0
17/1/22;0;44809;0
17/1/22;1;4114;0
16/1/22;0;46074;0
16/1/22;1;4267;0
15/1/22;0;51509;0
15/1/22;1;4816;0
14/1/22;0;50929;0
14/1/22;1;4790;0
13/1/22;0;50546;0
13/1/22;1;4768;0
12/1/22;0;46274;0
12/1/22;1;4361;0
11/1/22;0;51203;0
11/1/22;1;4800;0
10/1/22;0;52371;0
10/1/22;1;4877;0
9/1/22;0;51203;0
9/1/22;1;4768;0
8/1/22;0;51099;0
8/1/22;1;4772;0
7/1/22;0;51322;0
7/1/22;1;4823;0
6/1/22;0;51483;0
6/1/22;1;4821;0
5/1/22;0;49906;0
5/1/22;1;4681;0
4/1/22;0;40748;0
4/1/22;1;3956;0
3/1/22;0;43576;0
3/1/22;1;4110;0
2/1/22;0;49857;0
2/1/22;1;4621;0
1/1/22;0;53543;0
1/1/22;1;5079;0
31/12/21;0;52009;0
31/12/21;1;4991;0
30/12/21;0;35205;0
30/12/21;1;3526;0
29/12/21;0;44607;0
29/12/21;1;4225;0
28/12/21;0;51917;0
28/12/21;1;4880;0
27/12/21;0;50865;0
27/12/21;1;4824;0
26/12/21;0;42555;0
26/12/21;1;4034;0
25/12/21;0;50022;0
25/12/21;1;4807;0
24/12/21;0;39955;0
24/12/21;1;3745;0
23/12/21;0;45749;0
23/12/21;1;4184;0
22/12/21;0;46059;0
22/12/21;1;4131;0
21/12/21;0;47083;0
21/12/21;1;4254;0
20/12/21;0;50895;0
20/12/21;1;4701;0
19/12/21;0;42965;0
19/12/21;1;4039;0
18/12/21;0;46990;0
18/12/21;1;4545;0
17/12/21;0;49030;0
17/12/21;1;4552;0
16/12/21;0;52850;0
16/12/21;1;4865;0
15/12/21;0;11274;0
15/12/21;1;1110;0
17/11/21;0;2663;0
17/11/21;1;882;0
16/11/21;0;40486;0
16/11/21;1;4121;0
15/11/21;0;44426;0
15/11/21;1;4290;0
14/11/21;0;29337;0
14/11/21;1;2754;0
13/11/21;0;31661;0
13/11/21;1;3119;0
12/11/21;0;41780;0
12/11/21;1;4138;0
11/11/21;0;46924;0
11/11/21;1;4618;0
10/11/21;0;48731;0
10/11/21;1;4881;0
9/11/21;0;40893;0
9/11/21;1;4157;0
8/11/21;0;35292;0
8/11/21;1;3401;0
7/11/21;0;52997;0
7/11/21;1;5295;0
6/11/21;0;35076;0
6/11/21;1;3292;0
5/11/21;0;46033;0
5/11/21;1;4486;0
4/11/21;0;41407;0
4/11/21;1;4099;0
3/11/21;0;41015;0
3/11/21;1;4014;0
2/11/21;0;35932;0
2/11/21;1;3470;0
1/11/21;0;44925;0
1/11/21;1;4502;0
31/10/21;0;26394;0
31/10/21;1;2565;0
30/10/21;0;48128;0
30/10/21;1;4675;0
29/10/21;0;28152;0
29/10/21;1;2795;0
28/10/21;0;17673;0
28/10/21;1;1797;0
27/10/21;0;52563;0
27/10/21;1;5109;0
26/10/21;0;56328;0
26/10/21;1;5538;0
25/10/21;0;55870;0
25/10/21;1;5598;0
24/10/21;0;52541;0
24/10/21;1;5289;0
23/10/21;0;44634;0
23/10/21;1;4507;0
22/10/21;0;33860;0
22/10/21;1;3316;0
21/10/21;0;40446;0
21/10/21;1;4017;0
20/10/21;0;46120;0
20/10/21;1;4486;0
19/10/21;0;28556;0
19/10/21;1;2894;0
18/10/21;0;30150;0
18/10/21;1;3049;0
17/10/21;0;16510;0
17/10/21;1;1711;0
16/10/21;0;45195;0
16/10/21;1;4516;0
15/10/21;0;22490;0
15/10/21;1;2249;0
14/10/21;0;43135;0
14/10/21;1;4340;0
13/10/21;0;44766;0
13/10/21;1;4516;0
12/10/21;0;32177;0
12/10/21;1;3171;0
11/10/21;0;41825;0
11/10/21;1;4171;0
10/10/21;0;59972;0
10/10/21;1;6020;0
9/10/21;0;28411;0
9/10/21;1;2841;0
8/10/21;0;45462;0
8/10/21;1;4523;0
7/10/21;0;44118;0
7/10/21;1;4501;0
6/10/21;0;39903;0
6/10/21;1;4038;0
5/10/21;0;58335;0
5/10/21;1;5833;0
4/10/21;0;40151;0
4/10/21;1;3995;0
3/10/21;0;46128;0
3/10/21;1;4565;0
2/10/21;0;40274;0
2/10/21;1;4025;0
1/10/21;0;44826;0
1/10/21;1;4436;0
30/9/21;0;50339;0
30/9/21;1;4986;0
29/9/21;0;58115;0
29/9/21;1;5826;0
28/9/21;0;42188;0
28/9/21;1;4215;0
27/9/21;0;40355;0
27/9/21;1;4068;0
26/9/21;0;35846;0
26/9/21;1;3655;0
25/9/21;0;14379;0
25/9/21;1;1485;0
24/9/21;0;42594;0
24/9/21;1;4255;0
23/9/21;0;43907;0
23/9/21;1;4381;0
22/9/21;0;33285;0
22/9/21;1;3343;0
21/9/21;0;30878;0
